Start,End,Sleep quality,Time in bed,Heart rate,Activity (steps),Stressful day,Drank coffee,Drank tea,Ate late,Worked out
22:57:49,07:30:13,100.0,8.533333333333333,59.0,0,0,0,0,0,0
21:17:50,21:33:54,3.0,0.26666666666666666,72.0,0,1,0,0,0,0
22:42:49,07:13:31,98.0,8.5,57.0,0,0,0,0,0,0
22:31:01,06:03:01,65.0,7.533333333333333,0.0,0,0,0,0,0,0
22:12:10,04:56:35,72.0,6.733333333333333,68.0,0,0,1,1,0,0
00:34:57,07:47:23,83.0,7.2,60.0,0,0,1,1,0,0
00:23:06,07:37:09,78.0,7.233333333333333,0.0,0,0,0,1,0,0
21:34:44,04:53:34,78.0,7.3,57.0,0,0,1,0,1,0
21:32:25,05:00:03,69.0,7.45,56.0,0,0,1,1,0,1
21:24:56,05:00:02,74.0,7.583333333333333,64.0,0,0,0,1,0,1
20:59:58,06:19:20,81.0,9.316666666666666,62.0,0,1,1,1,0,0
22:58:18,06:14:58,88.0,7.266666666666667,58.0,0,0,1,1,0,0
22:27:58,07:29:00,77.0,9.016666666666667,65.0,0,0,1,1,0,0
22:38:24,07:28:59,89.0,8.833333333333334,65.0,0,0,1,1,0,0
22:12:07,06:20:29,78.0,8.133333333333333,53.0,0,0,0,1,0,0
21:01:46,06:13:23,100.0,9.183333333333334,65.0,0,0,0,1,0,1
22:14:29,06:20:33,100.0,8.1,55.0,0,0,1,1,0,0
21:48:26,05:02:05,88.0,7.216666666666667,60.0,0,0,1,1,0,1
21:32:07,04:54:42,87.0,7.366666666666666,60.0,0,0,0,1,0,0
02:11:57,09:03:37,83.0,6.85,94.0,0,0,1,1,0,0
23:55:16,07:47:15,93.0,7.85,57.0,0,0,1,1,0,0
21:51:53,05:04:18,58.0,7.2,67.0,0,0,1,0,0,0
05:06:38,06:20:29,16.0,1.2166666666666668,58.0,0,0,0,0,0,0
21:45:19,05:45:37,75.0,8.0,54.0,0,0,1,1,0,1
21:42:37,05:45:22,80.0,8.033333333333333,60.0,0,0,1,1,0,1
22:34:35,06:17:22,87.0,7.7,75.0,0,0,1,1,0,1
20:55:02,06:14:59,87.0,9.316666666666666,58.0,0,0,1,0,0,0
22:36:21,06:11:49,83.0,7.583333333333333,66.0,0,1,1,1,0,0
21:43:16,05:20:42,76.0,7.616666666666667,57.0,0,1,1,1,0,0
22:23:40,05:29:11,67.0,7.083333333333333,63.0,0,0,1,1,0,1
00:13:46,08:17:30,93.0,8.05,62.0,0,1,1,1,0,0
21:55:59,05:09:06,64.0,7.216666666666667,56.0,0,0,1,1,0,0
22:30:35,06:20:29,75.0,7.816666666666666,61.0,0,0,0,1,0,0
22:47:33,06:20:21,72.0,7.533333333333333,61.0,0,0,1,1,0,0
23:03:06,06:10:44,70.0,7.116666666666666,57.0,0,0,0,1,0,1
22:30:34,06:48:30,89.0,8.283333333333333,61.0,0,0,1,1,0,0
21:55:43,06:13:22,85.0,8.283333333333333,58.0,0,0,1,0,0,0
22:20:46,06:20:51,59.0,8.0,60.0,0,0,1,0,0,0
21:53:45,05:30:25,67.0,7.6,57.0,0,0,1,1,0,1
22:34:54,05:24:22,69.0,6.816666666666666,53.0,0,0,1,1,0,1
22:16:27,05:20:44,74.0,7.066666666666666,60.0,0,0,1,0,0,0
00:02:30,06:16:11,78.0,6.216666666666667,65.0,0,0,1,1,0,1
22:20:00,05:05:23,70.0,6.75,55.0,0,0,1,1,0,0
22:39:45,06:20:14,77.0,7.666666666666667,66.0,0,1,1,1,0,0
00:31:24,07:32:22,72.0,7.0,55.0,0,0,1,1,0,1
22:54:00,07:49:15,92.0,8.916666666666666,56.0,0,0,1,1,0,0
22:18:00,06:20:17,87.0,8.033333333333333,60.0,0,0,1,0,0,0
22:30:11,06:20:07,69.0,7.816666666666666,62.0,0,0,1,1,0,0
01:22:32,07:16:32,65.0,5.9,0.0,0,0,1,1,0,0
21:42:32,05:37:28,90.0,7.9,61.0,0,0,0,1,0,1
20:14:26,05:44:08,88.0,9.483333333333333,62.0,0,0,1,0,0,0
21:47:16,05:30:18,61.0,7.716666666666667,62.0,0,0,1,1,0,1
20:53:47,06:13:31,54.0,9.316666666666666,68.0,0,1,1,1,0,1
22:29:33,06:20:18,86.0,7.833333333333333,58.0,0,0,1,1,0,0
22:54:58,06:20:12,69.0,7.416666666666667,61.0,0,0,1,0,0,0
21:28:08,06:18:59,99.0,8.833333333333334,67.0,0,0,1,1,0,0
22:17:17,06:18:56,82.0,8.016666666666667,71.0,0,0,1,1,0,0
21:39:44,05:19:55,77.0,7.666666666666667,63.0,0,0,1,1,0,0
21:44:36,05:20:52,72.0,7.6,60.0,0,0,1,1,0,1
21:50:56,04:51:22,82.0,7.0,62.0,0,0,0,0,0,0
21:48:42,05:21:34,75.0,7.533333333333333,54.0,0,0,1,1,0,0
23:57:46,08:01:27,91.0,8.05,62.0,0,0,1,1,0,1
01:10:15,08:00:08,74.0,6.816666666666666,66.0,0,0,1,0,0,0
23:07:46,07:30:02,75.0,8.366666666666667,65.0,0,0,1,1,0,0
22:11:07,06:19:05,84.0,8.116666666666667,58.0,0,0,1,0,0,0
22:00:06,05:22:21,76.0,7.366666666666666,0.0,0,0,1,1,0,1
21:23:43,05:26:51,92.0,8.05,54.0,0,0,0,1,0,1
22:30:48,05:28:23,82.0,6.95,64.0,0,0,1,0,0,1
22:17:15,05:50:10,84.0,7.533333333333333,55.0,0,0,1,1,0,1
23:13:30,07:31:06,95.0,8.283333333333333,0.0,0,0,1,1,0,0
